Date,Open,High,Low,Close,Adj Close,Volume
20/10/2014,4.355,4.4325,4.325,4.3925,4.203363,20033600
21/10/2014,4.425,4.585,4.4125,4.58,4.382789,35109200
22/10/2014,4.5725,4.5875,4.4725,4.4725,4.279918,23951200
23/10/2014,4.55,4.605,4.5175,4.5725,4.375613,21447600
24/10/2014,4.6,4.6475,4.5725,4.62,4.421067,21015600
27/10/2014,4.6175,4.64,4.5675,4.6225,4.42346,14509200
28/10/2014,4.61,4.7375,4.605,4.7325,4.528722,19258000
29/10/2014,4.7125,4.74,4.66,4.7025,4.500015,16834000
30/10/2014,4.69,4.71,4.6125,4.6725,4.471308,17026000
31/10/2014,4.78,4.8875,4.755,4.885,4.674658,25631600
03/11/2014,4.9975,5.015,4.9425,4.9675,4.753604,30873200
04/11/2014,5,5.05,4.9175,5.0325,4.815806,36019600
05/11/2014,5.0625,5.065,4.995,5.0325,4.815806,33565200
06/11/2014,5.0425,5.0625,4.965,5.055,4.837337,39408800
07/11/2014,5.1125,5.1725,4.8975,4.9475,4.734467,45080000
10/11/2014,4.9425,5.0375,4.93,5.005,4.789489,29338800
11/11/2014,4.975,5.0025,4.9025,4.945,4.732073,21299200
12/11/2014,4.9275,4.94,4.845,4.9125,4.700974,20458400
13/11/2014,4.93,4.9375,4.8475,4.8875,4.67705,22532800
14/11/2014,4.8925,4.9475,4.845,4.9475,4.734467,16024800
17/11/2014,4.925,4.9775,4.8925,4.925,4.712935,15873200
18/11/2014,4.9275,5.055,4.915,5.0425,4.825377,20777200
19/11/2014,5.025,5.04,4.95,5.0025,4.807356,24030000
20/11/2014,4.9675,5.09,4.9525,5.085,4.886639,22096800
21/11/2014,5.13,5.1375,5.07,5.1125,4.913066,19897600
24/11/2014,5.125,5.1675,5.105,5.145,4.944297,13600400
25/11/2014,5.135,5.18,5.125,5.1425,4.941896,19024000
26/11/2014,5.1125,5.235,5.11,5.23,5.02598,21926400
28/11/2014,5.2475,5.2725,5.2,5.2425,5.037995,12483200
